author,work,metronome,meter
Medhātithi Kāṇva,b01_h014_07,S.wSS.wSwS.|SS.SSwS.ww.|SS.wSw.Sww|,gāyatrī
Medhātithi Kāṇva,b01_h014_08,S.wSS.w.SwS.|S.S.wSw.SwS.|wS.SS.wSww|,gāyatrī
Medhātithi Kāṇva,b01_h014_09,SS.SSw.SwS.|SS.SS.wSwS.|SS.SSw.Sww|,gāyatrī
Medhātithi Kāṇva,b01_h014_10,SSS.SwS.ww.|Sw.SSw.SwS.|wS.SSw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h014_11,wS.SS.wSwS.|SS.SSw.Sww.|SS.S.SwS.ww|,gāyatrī
Medhātithi Kāṇva,b01_h014_12,SS.w.wwS.wS.|wwS.Sw.SwS.|SS.SS.wS.ww|,gāyatrī
Medhātithi Kāṇva,b01_h015_01,Sw.SS.wS.wS.|S.S.wSw.SwS.|SwSS.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h015_02,wwS.wwS.wS.|SS.SS.wSww.|SS.S.S.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h015_03,ww.SS.wSw.S.|SS.SS.wS.wS.|wS.w.SwS.ww|,gāyatrī
Medhātithi Kāṇva,b01_h015_04,SS.SS.wS.ww.|SwS.SwS.ww.|ww.Sw.wS.wS|,gāyatrī
Medhātithi Kāṇva,b01_h015_05,SwS.Sw.SwS.|wS.Sw.wS.ww.|wS.w.Sw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h015_06,wS.SS.wSww.|SSwww.Sww.|wwS.Sw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h015_07,wwSS.wwwS.|SwSSS.SwS.|SSw.Sw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h015_08,wwSS.wSw.S.|wSw.Sw.SwS.|SSw.S.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h015_09,wwSS.wSww.|wSS.w.w.Sww.|SS.www.Sww|,gāyatrī
Medhātithi Kāṇva,b01_h015_10,S.S.wSw.wwS.|wwSS.wSwS.|wS.S.S.wS.ww|,gāyatrī
Medhātithi Kāṇva,b01_h015_11,SwS.wwS.ww.|SwSS.wSwS.|wwS.SwSwS|,gāyatrī
Medhātithi Kāṇva,b01_h015_12,SwSSw.Sww.|wwS.SwS.ww.|SS.SwwS.ww|,gāyatrī
Medhātithi Kāṇva,b01_h016_01,S.S.wSw.wwS.|wwS.SwSwS.|SS.S.SwSwS|,gāyatrī
Medhātithi Kāṇva,b01_h016_02,wS.SS.wSwS.|wS.wSw.Sww.|SS.wwwS.wS|,gāyatrī
Medhātithi Kāṇva,b01_h016_03,SS.SS.wSww.|SS.www.SwS.|SS.SSw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h016_04,ww.S.ww.S.ww.|www.Sw.SwS.|wS.S.S.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h016_05,SS.S.Sw.S.ww.|wSS.wwS.wS.|SS.w.wwS.ww|,gāyatrī
Medhātithi Kāṇva,b01_h016_06,wS.SSw.SwS.|wSS.ww.Sww.|S.Sw.wwS.ww|,gāyatrī
Medhātithi Kāṇva,b01_h016_07,wS.S.SS.SwS.|wSw.Sw.Sww.|wS.SS.wS.ww|,gāyatrī
Medhātithi Kāṇva,b01_h016_08,Sw.S.wwS.ww.|SS.wSw.Sww.|SwS.SwSwS|,gāyatrī
Medhātithi Kāṇva,b01_h016_09,SS.S.Sw.S.ww.|Sw.SS.wSwS.|wSS.S.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h017_01,SSwwwS.wS.|SSS.ww.S.wS.|S.S.wwSw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h017_02,SSS.S.S.wwS.|wS.SSw.SwS.|SSS.SwSwS|,gāyatrī
Medhātithi Kāṇva,b01_h017_03,wwSS.SwSS.|SSwww.Sw.S.|S.S.SSw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h017_04,wSw.w.wSwS.|wSw.wwSwS.|SSw.SwSwS|,gāyatrī
Medhātithi Kāṇva,b01_h017_05,SS.wSwSwS.|wwS.SwSwS.|wS.www.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h017_06,wS.w.wwS.wS.|wSw.w.w.Sww.|wS.wS.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h017_07,SSwww.S.wS.|wS.SSw.SwS.|SS.w.SwS.wS|,gāyatrī
Medhātithi Kāṇva,b01_h017_08,SSwww.S.w.S.|wSSSw.Sw.S.|SSS.Sw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h017_09,w.S.SSw.Sww.|SSwww.S.wS.|S.wSS.wSwS|,gāyatrī
